"Value","Date"
"11.22","2021-12-10"
"11.22","2021-12-09"
"11.21","2021-12-08"
"11.25","2021-12-07"
"11.27","2021-12-06"
"11.31","2021-12-03"
"11.26","2021-12-02"
"11.28","2021-12-01"
"11.27","2021-11-30"
"11.23","2021-11-29"
"11.25","2021-11-26"
"11.16","2021-11-24"
"11.13","2021-11-23"
"11.18","2021-11-22"
"11.24","2021-11-19"
"11.21","2021-11-18"
"11.2","2021-11-17"
"11.18","2021-11-16"
"11.19","2021-11-15"
"11.23","2021-11-12"
"11.23","2021-11-11"
"11.25","2021-11-10"
"11.33","2021-11-09"
"11.29","2021-11-08"
"11.32","2021-11-05"
"11.27","2021-11-04"
"11.23","2021-11-03"
"11.26","2021-11-02"
"11.24","2021-11-01"
"11.25","2021-10-29"
"11.24","2021-10-28"
"11.27","2021-10-27"
"11.22","2021-10-26"
"11.2","2021-10-25"
"11.19","2021-10-22"
"11.17","2021-10-21"
"11.19","2021-10-20"
"11.21","2021-10-19"
"11.24","2021-10-18"
"11.24","2021-10-15"
"11.27","2021-10-14"
"11.25","2021-10-13"
"11.23","2021-10-12"
"11.19","2021-10-11"
"11.2","2021-10-08"
"11.23","2021-10-07"
"11.26","2021-10-06"
"11.26","2021-10-05"
"11.29","2021-10-04"
"11.3","2021-10-01"
"11.27","2021-9-30"
"11.27","2021-9-29"
"11.26","2021-9-28"
"11.3","2021-9-27"
"11.32","2021-9-24"
"11.34","2021-9-23"
"11.41","2021-9-22"
"11.4","2021-9-21"
"11.4","2021-9-20"
"11.37","2021-9-17"
"11.39","2021-9-16"
"11.41","2021-9-15"
"11.42","2021-9-14"
"11.39","2021-9-13"
"11.38","2021-9-10"
"11.4","2021-9-09"
"11.37","2021-9-08"
"11.35","2021-9-07"
"11.38","2021-9-03"
"11.4","2021-9-02"
"11.39","2021-9-01"
"11.39","2021-8-31"
"11.4","2021-8-30"
"11.39","2021-8-27"
"11.36","2021-8-26"
"11.36","2021-8-25"
"11.38","2021-8-24"
"11.4","2021-8-23"
"11.4","2021-8-20"
"11.4","2021-8-19"
"11.39","2021-8-18"
"11.39","2021-8-17"
"11.39","2021-8-16"
"11.38","2021-8-13"
"11.34","2021-8-12"
"11.34","2021-8-11"
"11.34","2021-8-10"
"11.36","2021-8-09"
"11.38","2021-8-06"
"11.43","2021-8-05"
"11.46","2021-8-04"
"11.46","2021-8-03"
"11.46","2021-8-02"
"11.43","2021-7-30"
"11.41","2021-7-29"
"11.43","2021-7-28"
"11.42","2021-7-27"
"11.39","2021-7-26"
"11.4","2021-7-23"
"11.42","2021-7-22"
"11.39","2021-7-21"
"11.43","2021-7-20"
"11.44","2021-7-19"
"11.38","2021-7-16"
"11.39","2021-7-15"
"11.36","2021-7-14"
"11.33","2021-7-13"
"11.36","2021-7-12"
"11.36","2021-7-09"
"11.41","2021-7-08"
"11.39","2021-7-07"
"11.37","2021-7-06"
"11.33","2021-7-02"
"11.31","2021-7-01"
"11.31","2021-6-30"
"11.31","2021-6-29"
"11.3","2021-6-28"
"11.27","2021-6-25"
"11.29","2021-6-24"
