,date,cpi,bonds_10y_rate_percent,sp500_index,sp500_dividend,vbmfx_price,vbmfx_dividend
0,1871-01-01,12.46,5.32,4.44,0.26,,
1,1871-02-01,12.84,5.32,4.5,0.26,,
2,1871-03-01,13.03,5.33,4.61,0.26,,
3,1871-04-01,12.56,5.33,4.74,0.26,,
4,1871-05-01,12.27,5.33,4.86,0.26,,
5,1871-06-01,12.08,5.34,4.82,0.26,,
6,1871-07-01,12.08,5.34,4.73,0.26,,
7,1871-08-01,11.89,5.34,4.79,0.26,,
8,1871-09-01,12.18,5.35,4.84,0.26,,
9,1871-10-01,12.37,5.35,4.59,0.26,,
10,1871-11-01,12.37,5.35,4.64,0.26,,
11,1871-12-01,12.65,5.36,4.74,0.26,,
12,1872-01-01,12.65,5.36,4.86,0.26,,
13,1872-02-01,12.65,5.38,4.88,0.27,,
14,1872-03-01,12.84,5.4,5.04,0.27,,
15,1872-04-01,13.13,5.42,5.18,0.27,,
16,1872-05-01,13.13,5.43,5.18,0.28,,
17,1872-06-01,13.03,5.45,5.13,0.28,,
18,1872-07-01,12.84,5.47,5.1,0.28,,
19,1872-08-01,12.94,5.49,5.04,0.29,,
20,1872-09-01,13.03,5.51,4.95,0.29,,
21,1872-10-01,12.75,5.52,4.97,0.29,,
22,1872-11-01,13.13,5.54,4.95,0.3,,
23,1872-12-01,12.94,5.56,5.07,0.3,,
24,1873-01-01,12.94,5.58,5.11,0.3,,
25,1873-02-01,13.23,5.57,5.15,0.3,,
26,1873-03-01,13.23,5.56,5.11,0.31,,
27,1873-04-01,13.23,5.55,5.04,0.31,,
28,1873-05-01,12.94,5.54,5.05,0.31,,
29,1873-06-01,12.56,5.53,4.98,0.32,,
30,1873-07-01,12.56,5.53,4.97,0.32,,
31,1873-08-01,12.56,5.52,4.97,0.32,,
32,1873-09-01,12.56,5.51,4.59,0.32,,
33,1873-10-01,12.27,5.5,4.19,0.33,,
34,1873-11-01,11.89,5.49,4.04,0.33,,
35,1873-12-01,12.18,5.48,4.42,0.33,,
36,1874-01-01,12.37,5.47,4.66,0.33,,
37,1874-02-01,12.37,5.44,4.8,0.33,,
38,1874-03-01,12.37,5.4,4.73,0.33,,
39,1874-04-01,12.18,5.37,4.6,0.33,,
40,1874-05-01,12.08,5.34,4.48,0.33,,
41,1874-06-01,11.8,5.3,4.46,0.33,,
42,1874-07-01,11.89,5.27,4.46,0.33,,
43,1874-08-01,11.8,5.24,4.47,0.33,,
44,1874-09-01,11.8,5.2,4.54,0.33,,
45,1874-10-01,11.61,5.17,4.53,0.33,,
46,1874-11-01,11.51,5.14,4.57,0.33,,
47,1874-12-01,11.51,5.1,4.54,0.33,,
48,1875-01-01,11.51,5.07,4.54,0.33,,
49,1875-02-01,11.51,5.03,4.53,0.33,,
50,1875-03-01,11.51,4.99,4.59,0.32,,
51,1875-04-01,11.61,4.95,4.65,0.32,,
52,1875-05-01,11.32,4.91,4.47,0.32,,
53,1875-06-01,11.13,4.87,4.38,0.32,,
54,1875-07-01,11.13,4.83,4.39,0.31,,
55,1875-08-01,11.23,4.79,4.41,0.31,,
56,1875-09-01,11.13,4.75,4.37,0.31,,
57,1875-10-01,11.13,4.71,4.3,0.3,,
58,1875-11-01,11.04,4.67,4.37,0.3,,
59,1875-12-01,10.94,4.63,4.37,0.3,,
60,1876-01-01,10.85,4.59,4.46,0.3,,
61,1876-02-01,10.85,4.58,4.52,0.3,,
62,1876-03-01,10.85,4.57,4.51,0.3,,
63,1876-04-01,10.75,4.56,4.34,0.3,,
64,1876-05-01,10.37,4.54,4.18,0.3,,
65,1876-06-01,10.09,4.53,4.15,0.3,,
66,1876-07-01,10.09,4.52,4.1,0.3,,
67,1876-08-01,10.18,4.51,3.93,0.3,,
68,1876-09-01,10.28,4.5,3.69,0.3,,
69,1876-10-01,10.47,4.49,3.67,0.3,,
70,1876-11-01,10.56,4.47,3.6,0.3,,
71,1876-12-01,10.75,4.46,3.58,0.3,,
72,1877-01-01,10.94,4.45,3.55,0.29,,
73,1877-02-01,10.66,4.44,3.34,0.28,,
74,1877-03-01,10.18,4.43,3.17,0.27,,
75,1877-04-01,10.47,4.42,2.94,0.26,,
76,1877-05-01,10.66,4.41,2.94,0.25,,
77,1877-06-01,10.09,4.4,2.73,0.24,,
78,1877-07-01,10.18,4.39,2.85,0.24,,
79,1877-08-01,9.8,4.39,3.05,0.23,,
80,1877-09-01,9.7,4.38,3.24,0.22,,
81,1877-10-01,9.7,4.37,3.31,0.21,,
82,1877-11-01,9.51,4.36,3.26,0.2,,
83,1877-12-01,9.51,4.35,3.25,0.19,,
84,1878-01-01,9.23,4.34,3.25,0.19,,
85,1878-02-01,9.13,4.33,3.18,0.19,,
86,1878-03-01,8.94,4.32,3.24,0.19,,
87,1878-04-01,8.85,4.31,3.33,0.19,,
88,1878-05-01,8.56,4.3,3.34,0.19,,
89,1878-06-01,8.37,4.29,3.41,0.18,,
90,1878-07-01,8.47,4.28,3.48,0.18,,
91,1878-08-01,8.56,4.27,3.45,0.18,,
92,1878-09-01,8.56,4.26,3.52,0.18,,
93,1878-10-01,8.47,4.25,3.48,0.18,,
94,1878-11-01,8.37,4.24,3.47,0.18,,
95,1878-12-01,8.18,4.23,3.45,0.18,,
96,1879-01-01,8.28,4.22,3.58,0.18,,
97,1879-02-01,8.37,4.2,3.71,0.18,,
98,1879-03-01,8.28,4.19,3.65,0.18,,
99,1879-04-01,8.18,4.17,3.77,0.19,,
100,1879-05-01,8.18,4.15,3.94,0.19,,
101,1879-06-01,8.09,4.14,3.96,0.19,,
102,1879-07-01,8.18,4.12,4.04,0.19,,
103,1879-08-01,8.18,4.1,4.07,0.19,,
104,1879-09-01,8.47,4.09,4.22,0.2,,
105,1879-10-01,8.94,4.07,4.68,0.2,,
106,1879-11-01,9.42,4.05,4.93,0.2,,
107,1879-12-01,9.7,4.04,4.92,0.2,,
108,1880-01-01,9.99,4.02,5.11,0.2,,
109,1880-02-01,9.99,3.99,5.2,0.21,,
110,1880-03-01,10.09,3.97,5.3,0.21,,
111,1880-04-01,9.7,3.94,5.18,0.22,,
112,1880-05-01,9.42,3.91,4.77,0.23,,
113,1880-06-01,9.23,3.89,4.79,0.23,,
114,1880-07-01,9.23,3.86,5.01,0.23,,
115,1880-08-01,9.23,3.83,5.19,0.24,,
116,1880-09-01,9.32,3.81,5.18,0.24,,
117,1880-10-01,9.32,3.78,5.33,0.25,,
118,1880-11-01,9.42,3.75,5.61,0.26,,
119,1880-12-01,9.51,3.73,5.84,0.26,,
120,1881-01-01,9.42,3.7,6.19,0.27,,
121,1881-02-01,9.51,3.69,6.17,0.27,,
122,1881-03-01,9.51,3.69,6.24,0.28,,
123,1881-04-01,9.61,3.68,6.22,0.28,,
124,1881-05-01,9.51,3.67,6.5,0.28,,
125,1881-06-01,9.51,3.67,6.58,0.29,,
126,1881-07-01,9.61,3.66,6.35,0.29,,
127,1881-08-01,9.8,3.65,6.2,0.3,,
128,1881-09-01,10.18,3.65,6.25,0.3,,
129,1881-10-01,10.28,3.64,6.15,0.31,,
130,1881-11-01,10.18,3.63,6.19,0.32,,
131,1881-12-01,10.18,3.63,6.01,0.32,,
132,1882-01-01,10.18,3.62,5.92,0.32,,
133,1882-02-01,10.28,3.62,5.79,0.32,,
134,1882-03-01,10.28,3.62,5.78,0.32,,
135,1882-04-01,10.37,3.62,5.78,0.32,,
136,1882-05-01,10.47,3.62,5.71,0.32,,
137,1882-06-01,10.56,3.62,5.68,0.32,,
138,1882-07-01,10.47,3.63,6.0,0.32,,
139,1882-08-01,10.56,3.63,6.18,0.32,,
140,1882-09-01,10.28,3.63,6.24,0.32,,
141,1882-10-01,10.18,3.63,6.07,0.32,,
142,1882-11-01,10.09,3.63,5.81,0.32,,
143,1882-12-01,9.99,3.63,5.84,0.32,,
144,1883-01-01,9.99,3.63,5.81,0.32,,
145,1883-02-01,10.09,3.63,5.68,0.32,,
146,1883-03-01,9.99,3.63,5.75,0.32,,
147,1883-04-01,9.9,3.63,5.87,0.32,,
148,1883-05-01,9.8,3.63,5.77,0.32,,
149,1883-06-01,9.51,3.63,5.82,0.33,,
150,1883-07-01,9.32,3.63,5.73,0.33,,
151,1883-08-01,9.32,3.62,5.47,0.33,,
152,1883-09-01,9.23,3.62,5.53,0.33,,
153,1883-10-01,9.23,3.62,5.38,0.33,,
154,1883-11-01,9.13,3.62,5.46,0.33,,
155,1883-12-01,9.23,3.62,5.34,0.33,,
156,1884-01-01,9.23,3.62,5.18,0.33,,
157,1884-02-01,9.23,3.61,5.32,0.33,,
158,1884-03-01,9.23,3.6,5.3,0.33,,
159,1884-04-01,9.04,3.59,5.06,0.32,,
160,1884-05-01,8.85,3.59,4.65,0.32,,
161,1884-06-01,8.85,3.58,4.46,0.32,,
162,1884-07-01,8.75,3.57,4.46,0.32,,
163,1884-08-01,8.75,3.56,4.74,0.32,,
164,1884-09-01,8.66,3.55,4.59,0.32,,
165,1884-10-01,8.56,3.54,4.44,0.31,,
166,1884-11-01,8.37,3.54,4.35,0.31,,
167,1884-12-01,8.28,3.53,4.34,0.31,,
168,1885-01-01,8.28,3.52,4.24,0.3,,
169,1885-02-01,8.37,3.51,4.37,0.3,,
170,1885-03-01,8.18,3.5,4.38,0.29,,
171,1885-04-01,8.28,3.48,4.37,0.29,,
172,1885-05-01,8.09,3.47,4.32,0.28,,
173,1885-06-01,7.9,3.46,4.3,0.28,,
174,1885-07-01,7.99,3.44,4.46,0.27,,
175,1885-08-01,7.99,3.43,4.71,0.26,,
